晚点再说行吗,f,"看看那几个笨比 终于明白为啥拼命吃经济了<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span>"
宇风丶,f,。。。。。。枣子哥，唉，尊重你的决定，但是真的舍不得你，我算半个新观众吧，从2017年的世界赛开始关注了lol的比赛，从那以后一直看着你，从lpl冠军到msi冠军，从这就是的冠军到亚运会的金牌。。再到s8的失利，我仔细想了想，或许我喜欢的只是你啊，小狗，因为你，我一直追看着RNG的比赛，s9你说过
香油皮皮棒棒糖,m,"希望你今年加油，lwx的皮肤拿的也没毛病，别人是冠军就有自己的选择权利，但你是我看lpl的动力，也是很多人的信仰，加油<span class=""url-icon""><img alt=[太开心] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_taikaixin-97bd3f82d6.png"" style=""width:1em; height:1em;"" /></span>"
拓海Uzi,m,"是不是圣枪哥干的<span class=""url-icon""><img alt=[笑而不语] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-f7ca09d6e8.png"" style=""width:1em; height:1em;"" /></span>"
Whale-babe,f,你真的太强了 能带动这个队伍
Zhang_x_Dong,m,难道是用脚打游戏的吗
__579xx__,f,好好休息啊
RNG丶Minato,m,有哪些话以前被人喷现在人人认定是真理？uzi：皇族都是我carry
求风留痕,m,枣，咱们跑路吧，别把名声砸在这破队上了
semyao,m,"原来打败小狗的不是ban英雄……是特么搬东西<span class=""url-icon""><img alt=[二哈] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0fecc90ac1.png"" style=""width:1em; height:1em;"" /></span>"
西行遇藤i,f,说实话，看完今天的比赛，我就问问枣子哥凭什么不能吃三路？？其他人多拿十几个头照样输
热心网友廖老师,m,狗子，老粉说句真心话，再打一年吧，为S赛拼一把，你的油箱还有油的，去JDG补齐最后一块拼图，NBA的詹姆斯和杜兰特都选择了换队寻找更好的队友，其实你没必要守一城终老了，已经对得起RNG了。
爱睡giao的橘崽,f,保护
建议原地解散嗷,m,枣子哥退役吧，反正手伤都这么严重了，留在RNG这个垃圾队伍也是浪费时间
你的男友hao,m,别退役求你了
窗台胖子,m,30号退役，真的，你再坚持下去，徒增笑料，这玩的都是什么东西啊？你继续坚持下去，这个版本不是AD的版本，你根本不能，一带四，或许你想要拿一个冠军，但这支队伍我觉得根本进不了总决赛，季后赛都是别人抬进去的，如果小凤凰那一把输了，然后呢，无缘季后赛，我们在虎牙当个小主播，大家都会去看你的
realllk,f,"我前几天看ts直播<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>做梦都想要个这样的上单<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>人家粉丝天天笑得不行<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>我们看一场比赛就被气出病<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>原来人家喷rng我必喷回去，现在真的..只想跟他们一起喷<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>你别回来了，不值得！！！"
五年十天,m,狗子，俱乐部哪怕用他亲妈来求你续约，你也千万别答应。
心悅伱呀,m,【RNG战队英雄联盟分部人员变动公告】   即日起，RNG、Uzi（简自豪）正式退役。从S3的皇族，到S6重回RNG至今，uzi以主力ADCarry的身份与RNG并肩作战，在役期间，带领队伍斩获诸多赛场荣誉，也留下了更多美好回忆，辛苦了！祝以后的生活还能和赛场上一样，精彩纷呈。人生有梦，各自精彩，你是永远的神～
顾刻铭,m,我的天，期待破灭了。。。。
E_TN,m,"真就卡脚了呗<span class=""url-icon""><img alt=[悲伤] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" style=""width:1em; height:1em;"" /></span>"
yylxmhappy,m,我以为我是冠军粉，直到ig夺冠我才知道我喜欢的是全华班rng。我以为我粉的是rng，直到这两年没有乌兹的rng惨败，我才明白我粉的是永远滴神。
星光亦可耀眼,m,退了吧，这队友真是都他妈在裸泳，还怪你块头大把池子占满了。无力
会走路的三十,m,以前我一直觉得阿水带妹夺冠挺离谱的，现在知道枣子哥还是永远滴神，这彩笔队友年年能带去世界赛
瞅给我使劲瞅,f,好好休息啊小简儿
HeatherShyva,f,"林伟翔真的选了vn冠军皮肤，这次做的真的太过分了，我我们粉丝群已经准备好了<span class=""url-icon""><img alt=[怒] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_nu-54e54e160b.png"" style=""width:1em; height:1em;"" /></span>"
beatboxCR,m,说真的，看了三年RNG，我头一回觉得你就这样休息吧，不值得你回去了，这版本ADC 太难了，你回去要carry那四个人真的太难了。 RNG 这状态别想能进S赛了，要么就退役好好休息吧，要么换队吧，我还想看你进S赛最后一次，不管成绩与否。
puwind-,m,啥也不说了，皇族都是我carry
几杯懒散2,m,带明换个队伍吧，或者退役了，也挺好的，RNG反正还是别回去了，希望脚伤早点好吧，给大伙直播挺开心快乐的。
日落孤城zz,m,说实话就是因为枣爱上了RNG但是现在唉失望透顶，4月三十号合同到期 希望枣子哥今年结束，但是真的不要在RNG了 转会吧
文乃是TianOwO,f,要么换队，要么退役吧，咱不打了
国际知名狗吹,f,"卧槽，阿水转个会一群人还开你团，真的太难了<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span>"
铭铭之中遇见你M,m,实在太累就退役吧  今年希望真的没那么大了 每天快快乐乐的直播和gnr的兄弟们 没事玩玩游戏挺好的 没必要了
WickedSmaht,m,说真的、有点难受、你的标志英雄是vn、却没有她的皮肤，换个队伍吧，再拼一次，RNG真的已经不适合你了，或者说RNG现在根本配不上这么好的你
你能懂me,m,那句话很经典“uzi用一个春季赛不上场证明了自己在rng的地位”
青柠QAQ33,m,我吐了，为什么阿水的事情还能开到枣子哥
啷个哩个啷70275,m,枣子哥，退了吧，这个战队不值得
RankBoyZz,m,你去V5 我都能粉V5 这就是我现在所有的执念 你如果退役了 我就再也不会粉任何一个战队 至于Rng 我已经脱粉了 祝好 Uzi选手
枫源1987,m,小狗去京东吧，我觉得最合适的，京东刚好AD不怎么行，绿毛辅助很顶的，粽子哥分分钟比狼行靠谱，狗子去了，FPX和IG都要忌惮三分
加鲁鲁,m,污渍人在家中坐，锅从天下来。现在外边乱套了啥都能开到污渍，建议就别回来了
元宇宙,m,很抱歉在刚刚结束的比赛中，我们以0:3的战绩不敌EDG战队，结束了本次春季赛的征程，在比赛中暴露出的许多问题仍然需要解决，我们也会尽快调整状态，希望夏季赛能够有更好的表现。
此号不为空,m,别续约了吧，换个队或者退了，真的没什么好坚持的了，这群人真的不配赢了
将故之人-L,m,简自豪今年再打一年吧！不管结局好坏！希望最后是2020年世界赛冠军  冠军ad RNG-UZI 等你
界下,m,千万别回RNG了，求你了，保留你最后的荣光
陆云溪aurora,f,"又被开了，<span class=""url-icon""><img alt=[二哈] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0fecc90ac1.png"" style=""width:1em; height:1em;"" /></span>我人傻了。"
沐血承殇QAQ_,m,小狗本来春季赛就没打算上，虽然没明说，但是看过直播的人心里都有数，一群憨批还说什么吊不吊的，自己脑补乌滋救场，乌滋不上就怪乌滋吊粉消费粉，真是有够好笑的
现代丛林故事,m,你们谁记得rng放出语音，uzi喊“狼行呢狼行呢”，langx说“我在我在。在在”，uzi“上去杀！” 然后一锤定音纳尔开团，中A爆炸输出一波。  神啊，rng现在真的需要你，你快回来把，粉丝快顶不住了
海强201503,m,好好养伤，不过没有你的英雄联盟，总感觉少了点什么，从s3到现在，说实话我已经33岁了，谢谢你陪伴了我的整个青春，但是我的青春是有遗憾的，遗憾没有看到你拿s赛的冠军，不知道说点什么了，有点想哭…
June丶小城要努力,m,"一觉醒来vnlpl首个冠军皮肤已经不是乌兹的了，加油吧<span class=""url-icon""><img alt=[悲伤] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[悲伤] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" style=""width:1em; height:1em;"" /></span>"
哆啦黑柴,m,乌兹快跑，这队伍烂在根里了，2200已经耽误你4年了
亚太化工123,m,灯笼 新出的vn冠军皮肤会买吗？
Keith尚,m,一句话，uzi可以现在没有s赛冠军退役，开网店开直播捞金，赚三辈子都花不完的钱，他为什么坚持，我觉得他有梦想，有比钱更值得坚持的东西，我从来不带uzi的节奏，第一次，就算有喷子来喷也就算我带了一波节奏，仅此一次，作为一个老粉的心声，你们都是尼玛了个b
魔王哦丶,m,那时候只有两个队伍。we和ig。想学技术还得从网站开始。从joker优酷上传知道的你。视频里说想找你打zy。但说那时候你还小，家里人不同意拒绝了。当时并没有uzi。你的名字是狂小狗。你没确定位置。中上野。只要能c的位置都有你。上单豹女是你教我的。电竞也是你教我的。如果你退役…我的青春…真的没了
夜久无冀,f,"没想到澡子哥歇了一个赛季竟然证明了自己<span class=""url-icon""><img alt=[黑线] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-bde08b426c.png"" style=""width:1em; height:1em;"" /></span>"
七家大将军,m,换些好的队友来一场金色的雨吧，我已经三年不玩lol了，但你的比赛每场都看，只为了圆当年那一个冠军梦，只为等你，还能等到吗
梦里花落知多少-meng,f,如果你的技术还在只是心态上不好！那就请你放下你的心魔不要管别人的眼光和流言蜚语！拿起你的弓箭去猎杀那些黑暗中的敌人吧！祝愿你能拿到那座最后一个的奖杯🏆！成功了我们陪你一起狂欢！失败了我们青春陪你殉葬
