The西,f,"就知道你会道歉<span class=""url-icon""><img alt=[跪了] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guile-7b3e474f7f.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[跪了] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guile-7b3e474f7f.png"" style=""width:1em; height:1em;"" /></span>那就赢回来啊！！！！我晒哥怎么能忍受就这样被打败！"
whitebab,m,加油shy哥，我永远相信姜承禄选手！！！！！！
妙仔不是旺仔mmlikl,m,"没有关系继续加油<span class=""url-icon""><img alt=[赞] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-e3d1e596da.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[赞] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-e3d1e596da.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[赞] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-e3d1e596da.png"" style=""width:1em; height:1em;"" /></span>"
虎扑电竞,f,加油
5ry_b92h,f,shyshy加油加油。
NASAde,f,你要是自责你就好好打，别整些没用的，调整状态实力说话
我心态从不会崩,m,虽然我是rng粉丝，但是我也很喜欢你，你的技术大家伙儿都知道，你的实力不需要多说，人也很好，虽然你的脑残粉很恶心，但是骂也是骂你的那帮脑残粉，你的为人谦虚多粉丝很好，实力更是顶级，希望你越来越好不需要道歉，谁都有发挥失常的时候，毕竟人不是机器
蔡蜜桃儿,f,不要说对不起 下个赛季加油！！！
是李梓L嗯呐,f,抱抱抱抱
TheHermia,f,“打比赛不是为了粉丝而打 而是为自己很私人的理想 怎么样打才合适 需要你自己来决定 因为你才是职业选手” 别辜负了你自己啊姜承錄
龚子棋别娶我了打_钱吧,f,好好调整心态 夏天见
喜欢喝橙汁OvO,f,"好好加油，我们相信你，会打回来的<span class=""url-icon""><img alt=[拳头] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-0a4441543d.png"" style=""width:1em; height:1em;"" /></span>"
希然lris的颜粉,m,🙈状态不好  shy哥等你夏季赛  这段时间好好恢复
鹿祺嗷_,m,好好看牙 我们夏天再见 希望能看到那个神挡杀神，佛挡杀佛的shy哥
峡谷律律,m,好好加油 打出成绩
喵弧大队总舵主,f,"没有辜负，我对你最大的愿望是你能享受你的职业生涯，不辜负你的天赋和努力就可以了，最重要是享受这段时光，不用太有压力<span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span>永远相信你<span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给你小心心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/qixi2018_xiaoxinxin-afb8c6ea83.png"" style=""width:1em; height:1em;"" /></span>"
